"Status","Name","Duration in ms","Description"
"passed","tests.PianoSoundSettingsTest.tc03_turnOffSustainbyClickingMinus","58521",""
"passed","tests.PianoSoundTransposeSettingsTest.tc01_transposeUp","40848",""
"passed","tests.MusicLibrarySearchByPopularTest.tc01_PlayASongFromPopularCategory1","82467",""
"passed","tests.MusicLibrarySearchByGenreTest.tc02_GoToLibraryAndChooseAsong2","124254",""
"passed","tests.PianoKeysTest.tc01_pianoKeysTest","45206",""
"passed","tests.PianoSoundSettingsTest.tc04_changeVolumeAndPlay","34274",""
"passed","tests.PianoSongsSearchTest.tc01_SearchSong01","42065",""
"passed","tests.PianoSoundSettingsTest.tc02_turnOffSustain","35726",""
"passed","tests.PianoInstrumentsSettingsTest.tc03_changingSoundToSaxophone","35211",""
"passed","tests.PianoKeysTest.tc02_pianoPlayingScaleTest","34648",""
"passed","tests.PianoSoundTransposeSettingsTest.tc03_transposeDownMoreThanPossible","41403",""
"passed","tests.PianoSoundTransposeSettingsTest.tc02_transposeDown","43169",""
"passed","tests.PianoSongsSearchTest.tc03_restartTheSong","73297",""
"passed","tests.PianoSoundSettingsTest.tc06_returnVolumeToNormal","34157",""
"passed","tests.MusicLibrarySearchByGenreTest.tc01_GoToLibraryAndChooseAsong","104212",""
"passed","tests.PianoSoundSettingsTest.tc05_changeVolumeToMin","34172",""
"passed","tests.PianoSoundSettingsTest.tc07_useMetronome","20885",""
"passed","tests.PianoSoundTransposeSettingsTest.tc04_transposeDownMoreThanPossible","71130",""
"passed","tests.PianoSongsSearchTest.tc02_SearchSong02","41950",""
"passed","tests.MusicLibrarySearchByPopularTest.tc02_PlayASongFromPopularCategory2","83894",""
"passed","tests.PianoInstrumentsSettingsTest.tc02_changingSoundToPanFlute","34879",""
"passed","tests.PianoSoundSettingsTest.tc01_isthereMidiConnection","19565",""
"passed","tests.PianoInstrumentsSettingsTest.tc01_changingSoundToClassicalGuitar","35378",""
"passed","tests.PianoTextBoxTest.tc01_usingTextBox","32794",""
"passed","tests.PianoSongsSearchTest.tc04_SearchSong03","6351",""
"passed","tests.PianoTextBoxTest.tc02_usingThepasteOption1","37837",""
